Name,Instructions,boughtFrom,Stock,UnitPerStock
Cesar wet dog food,Top with chicken bits,Walmart,15,package
Purina Pro Plan Chicken and Rice Formula,,Pet Co,129,cup
Purina One Lamb & Rice Formula ,Top with bone broth,Pet Co,135,cup
Hill's Kidney Care Wet,,Pet Co,8,can
Hill's Gastroenteric Wet,Top with bone broth,Chewy,7,can
Royal Canin Hydrolyzed Protein,,Chewy,111,cup
Blue Wilderness Wild Cuts,,Pet Co,24,pouch
JustFood packaged meal,,Pet Co,14,package
Egg bite,,,12,egg
Roast beef,,,50,slice
Meat Ball,,,50,
